h;r;s;k_lsb
46c2d409fa346a4a5951f1cfa6ffde77beca38c4;4cd737992461304d84dc536dca8278b90411dd584a49244263bfbd221b4b9c85;a243d439ecdf44c325e0ce8d50cf5ea28b7ec9d8d36fb59fdc80491d48b0f705;110110
9c4f1679365041a8a7b85ec4a449dcdc034ace00;9cd1fbfd038ac020c48a2529688cac4aa26110d55b9d9d8d0aacfec0630f4d9a;462e8bb6a26820d78dca31c4669cc94d5f0476da1d1b87e463b46f4105562f63;10010
afb6bb422f583db44eaa5575034326bf3e3ced46;651a61de27fc78129c9c0ca42dd4e5ab09fa2cb1172f7526d1ad9487c5736986;5cf2c1051e7cdc57b6f7a07bc914e20a09f6cf427d80886357b2c23e2dfac5e2;1011100
d5a6e07b62edf271ae2d9461369464b717dfd3ad;844554d79bbbb14502dc3cb464968f9df5f405bf38c690121055269dd6c84810;a3d194028d43563dc3c873c64f8c81520e2c808b1e88ef4a8c9f569e5c274443;11
79cdc21668f325ca5cd40858ae6cdd7ef2c43d2d;de8ad41204869c2212001a8f0eb864657acedefe83ba52fea40bc4835c05babc;e5710a8c694eb15bab28979a9916313581c829ba197d1e01fea854d8e29b98a8;1000101
5061d6f2b8d5a5b2cd1c921d72bfec07bdbbfdc2;5fa64b8fe1fd72ff5016af9d7a018b00424917fc971c7656a182b00c3a83d6f6;d4724b1d5beb4e3a6b699b394dc79ebc65e8043ff305a733bf485e71617e6b8a;111010
b70687867204bda950efd403be7f5e2a4784470a;1db7b825d7d1c7171d8700ee5cfac896a0eddff05406ca19a1bf5de3c5b4af05;f196a9d9f7d48b989faf863a4317e00164c9e054a5aa3fea5d6e10e0cb78edf8;100011
3b97f1295488331aa4e44cd638724e0b27475056;a7b135aa1d9d6d97eb081bfb69b806e77b5641888baa301f58d33524a64c9b77;541e2ecfe25cb754ccdf34cf61180ecb10df3c7e78ac235baccc424030b7858;101100
ed38cacaf9c0b5cd25d127efca9be5a4dc10c233;887092a808bb73702b7c2bd6f431ecb23af9b040e2977abfd5e4339ff16955a8;84ffbcaa3836b9c58df0afe1e795455a6f0ba27d9301f53a2d35930209ac4533;11
e6ce30b3f2124231db6d8e8c5baaeeee1cdb6200;270f06595e7d86877a7f4d5f162e075e241b419f40aaa99614e540339be568ba;c086fac21ea8acc4547538eaf0ff225bf697b270c4ddf14c3c68f013ef62243a;111100
